,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days),Test Date
0,115.4474844,88.85864705,69.6415583,55.20377323,5.777132167,"[4, 4]",[4],6,15-Nov
0,114.0763225,84.46251451,66.45370617,50.39200351,3.814204664,"[8, 8]",[4],6,15-Nov
0,110.0918947,88.44820145,80.14246746,65.1771419,3.685162753,"[16, 16]",[4],6,15-Nov
0,112.3333816,86.6189648,81.04937271,64.33787339,3.983193431,"[32, 32]",[4],6,15-Nov
0,133.645684,125.260589,83.01320083,79.62954197,3.730099131,"[4, 4, 4]",[4],6,15-Nov
0,123.6785414,87.53874313,78.23725559,65.11099509,4.086989389,"[4, 8, 16]",[4],6,15-Nov
0,107.6161963,75.72953922,75.41833152,68.71839671,3.586678817,"[4, 4]",[8],6,15-Nov
0,93.54050917,68.34853624,68.92914373,73.01448205,3.816431916,"[4, 4]",[16],6,15-Nov
0,80.64951207,47.22609939,80.95748619,70.13444265,3.545198279,"[4, 4]",[32],6,15-Nov
0,133.5531304,123.0879897,83.36122287,78.52244723,5.040521131,"[4, 4]","[4, 4]",6,15-Nov
0,130.6109826,101.1904211,85.03196974,134.894592,4.986320347,"[4, 4]","[4, 8]",6,15-Nov
0,90.35365502,71.14970558,71.28058121,62.01353844,3.563998729,"[4, 4]",[4],6,20-Nov
0,90.36793511,71.03050693,71.26701425,62.00305846,3.871862046,"[8, 8]",[4],6,20-Nov
0,90.84596976,71.26097222,71.78329622,61.94706256,3.65913223,"[16, 16]",[4],6,20-Nov
0,90.97769308,71.30596165,71.97446702,61.92712079,3.970593463,"[32, 32]",[4],6,20-Nov
0,89.30745716,70.56415757,70.06444371,62.08359043,3.790634932,"[4, 4, 4]",[4],6,20-Nov
0,89.24795301,70.62377924,69.9698628,62.05944673,3.828813762,"[4, 8, 16]",[4],6,20-Nov
0,82.90864259,66.3630001,69.97667171,64.39177467,3.797098302,"[4, 4]",[8],6,20-Nov
0,79.20610737,73.97296366,70.10225827,63.73680546,3.575621756,"[4, 4]",[16],6,20-Nov
0,76.39207818,64.70878674,68.59965701,64.80880851,3.596557641,"[4, 4]",[32],6,20-Nov
0,91.07188782,71.13528194,72.35328657,61.82876291,4.812153285,"[4, 4]","[4, 4]",6,20-Nov
0,84.36220011,66.34206497,71.81582768,64.51733581,4.971505222,"[4, 4]","[4, 8]",6,20-Nov
0,78.34570245,51.24718305,72.40516154,59.22861949,3.627478998,"[4, 4]",[4],6,28-Nov
0,81.48961259,55.25167825,70.22191795,59.15996688,3.62426168,"[8, 8]",[4],6,28-Nov
0,68.37219917,43.06725423,66.79780823,61.31786578,4.02541895,"[16, 16]",[4],6,28-Nov
0,72.95615163,47.65375161,65.69494552,58.87976126,3.762816913,"[32, 32]",[4],6,28-Nov
0,77.46635385,46.38229607,74.43864535,62.74621555,4.049214673,"[4, 4, 4]",[4],6,28-Nov
0,77.73691074,56.07395292,72.06859852,62.48469675,4.026484966,"[4, 8, 16]",[4],6,28-Nov
0,65.53087029,44.66392486,65.067928,63.78647482,3.564472136,"[4, 4]",[8],6,28-Nov
0,62.00440178,45.31231832,69.58825898,60.5185876,3.831003674,"[4, 4]",[16],6,28-Nov
0,51.89839982,30.45951701,63.5064532,52.7580747,3.598196502,"[4, 4]",[32],6,28-Nov
0,78.73550613,45.43605563,76.41645494,64.55515941,5.050124252,"[4, 4]","[4, 4]",6,28-Nov
0,74.81165806,58.4362453,76.89608675,66.55155625,5.04813186,"[4, 4]","[4, 8]",6,28-Nov
0,61.80503926,52.34558063,57.37320143,49.1595681,3.587091129,"[4, 4]",[4],6,7-Dec
0,64.30976498,61.49417068,59.12283293,56.09786645,3.913571686,"[8, 8]",[4],6,7-Dec
0,62.06170305,54.70229651,56.87221705,49.77102896,3.631147289,"[16, 16]",[4],6,7-Dec
